year,month,zipcode,Unique_Key
2019,5,11225,788
2019,5,11226,943
2019,5,11228,72
2019,5,11229,206
2019,5,11230,255
2019,5,11231,210
2019,5,11232,176
2019,5,11233,509
2019,5,11234,189
2019,5,11235,229
2019,5,11236,216
2019,5,11237,716
2019,5,11238,714
2019,5,11239,23
2019,5,11249,303
2019,5,11354,122
2019,5,11355,154
2019,5,11356,153
2019,5,11357,93
2019,5,11358,125
2019,5,11360,23
2019,5,11361,58
2019,5,11362,25
2019,5,11363,12
2019,5,11364,58
2019,5,11365,113
2019,5,11366,975
2019,5,11367,77
2019,5,11368,493
2019,5,11369,134
2019,5,11370,86
2019,5,11372,401
2019,5,11373,320
2019,5,11374,144
2019,5,11375,217
2019,5,11377,378
2019,5,11378,106
2019,5,11379,70
2019,5,11385,849
2019,5,11411,70
2019,5,11412,75
2019,5,11413,91
2019,5,11414,55
2019,5,11415,94
2019,5,11416,120
2019,5,11417,178
2019,5,11418,149
2019,5,11419,399
2019,5,11420,278
2019,5,11421,261
2019,5,11422,51
2019,5,11423,153
2019,5,11426,20
2019,5,11427,49
2019,5,11428,64
2019,5,11429,34
2019,5,11430,1
2019,5,11432,846
2019,5,11433,152
2019,5,11434,161
2019,5,11435,252
2019,5,11436,105
2019,5,11691,243
2019,5,11692,64
2019,5,11693,65
2019,5,11694,66
2019,5,11697,15
2019,5,12345,5
2019,6,83,1
2019,6,10000,41
2019,6,10001,191
2019,6,10002,613
2019,6,10003,433
2019,6,10004,48
2019,6,10005,28
2019,6,10006,28
2019,6,10007,35
2019,6,10009,568
2019,6,10010,150
2019,6,10011,369
2019,6,10012,287
2019,6,10013,183
2019,6,10014,343
2019,6,10016,302
2019,6,10017,76
2019,6,10018,100
2019,6,10019,280
2019,6,10020,1
2019,6,10021,81
2019,6,10022,174
2019,6,10023,222
2019,6,10024,290
2019,6,10025,388
2019,6,10026,786
2019,6,10027,752
2019,6,10028,152
2019,6,10029,568
2019,6,10030,413
2019,6,10031,1095
2019,6,10032,1194
2019,6,10033,877
2019,6,10034,896
2019,6,10035,260
2019,6,10036,218
2019,6,10037,166
2019,6,10038,143
2019,6,10039,264
2019,6,10040,792
2019,6,10041,2
2019,6,10044,8
2019,6,10065,101
2019,6,10069,12
2019,6,10075,86
2019,6,10105,5
2019,6,10106,4
2019,6,10118,1
2019,6,10119,1
2019,6,10120,1
2019,6,10128,151
2019,6,10162,5
2019,6,10177,1
2019,6,10280,18
2019,6,10281,6
2019,6,10282,5
2019,6,10301,327
2019,6,10302,68
2019,6,10303,100
2019,6,10304,202
2019,6,10305,79
2019,6,10306,115
2019,6,10307,45
2019,6,10308,36
2019,6,10309,54
2019,6,10310,155
2019,6,10312,107
2019,6,10314,132
2019,6,10451,440
2019,6,10452,1155
2019,6,10453,1102
2019,6,10454,260
2019,6,10455,321
2019,6,10456,786
2019,6,10457,928
2019,6,10458,749
2019,6,10459,380
2019,6,10460,574
2019,6,10461,318
2019,6,10462,496
2019,6,10463,596
2019,6,10464,40
2019,6,10465,260
2019,6,10466,271
2019,6,10467,816
2019,6,10468,1000
2019,6,10469,319
2019,6,10470,42
2019,6,10471,68
2019,6,10472,557
2019,6,10473,343
2019,6,10474,102
2019,6,10475,41
2019,6,11001,9
2019,6,11004,38
2019,6,11005,2
2019,6,11040,6
2019,6,11101,295
2019,6,11102,249
2019,6,11103,177
2019,6,11104,141
2019,6,11105,186
2019,6,11106,203
2019,6,11109,11
2019,6,11201,625
2019,6,11203,360
2019,6,11204,164
2019,6,11205,354
2019,6,11206,765
2019,6,11207,576
2019,6,11208,779
2019,6,11209,190
2019,6,11210,226
2019,6,11211,623
2019,6,11212,396
2019,6,11213,466
2019,6,11214,183
2019,6,11215,321
2019,6,11216,650
2019,6,11217,311
2019,6,11218,238
2019,6,11219,148
2019,6,11220,448
2019,6,11221,1340
2019,6,11222,318
2019,6,11223,148
2019,6,11224,132
2019,6,11225,808
2019,6,11226,1064
2019,6,11228,100
2019,6,11229,224
2019,6,11230,215
2019,6,11231,177
2019,6,11232,182
2019,6,11233,608
2019,6,11234,271
2019,6,11235,245
2019,6,11236,252
2019,6,11237,1020
2019,6,11238,646
2019,6,11239,11
2019,6,11242,1
2019,6,11249,282
2019,6,11354,129
2019,6,11355,207
2019,6,11356,176
2019,6,11357,133
2019,6,11358,87
2019,6,11360,17
2019,6,11361,76
2019,6,11362,23
2019,6,11363,23
2019,6,11364,59
2019,6,11365,250
2019,6,11366,887
2019,6,11367,65
2019,6,11368,585
2019,6,11369,180
2019,6,11370,88
2019,6,11372,324
2019,6,11373,265
2019,6,11374,127
2019,6,11375,154
2019,6,11377,348
2019,6,11378,110
2019,6,11379,90
2019,6,11385,728
2019,6,11411,63
2019,6,11412,119
2019,6,11413,86
2019,6,11414,116
2019,6,11415,52
2019,6,11416,226
2019,6,11417,228
2019,6,11418,160
2019,6,11419,471
2019,6,11420,360
2019,6,11421,340
2019,6,11422,78
2019,6,11423,182
2019,6,11426,32
2019,6,11427,50
2019,6,11428,72
2019,6,11429,97
2019,6,11430,1
2019,6,11432,647
2019,6,11433,196
2019,6,11434,213
2019,6,11435,264
2019,6,11436,142
2019,6,11691,201
2019,6,11692,81
2019,6,11693,59
2019,6,11694,50
2019,6,12345,1
2019,7,10000,1
2019,7,10001,115
2019,7,10002,252
2019,7,10003,133
2019,7,10004,19
2019,7,10005,9
2019,7,10006,8
2019,7,10007,18
2019,7,10009,266
2019,7,10010,52
2019,7,10011,162
2019,7,10012,97
2019,7,10013,89
2019,7,10014,94
2019,7,10016,101
2019,7,10017,11
2019,7,10018,30
2019,7,10019,81
2019,7,10020,1
2019,7,10021,23
2019,7,10022,59
2019,7,10023,41
2019,7,10024,138
2019,7,10025,172
2019,7,10026,582
2019,7,10027,476
2019,7,10028,48
2019,7,10029,410
2019,7,10030,253
2019,7,10031,835
2019,7,10032,832
2019,7,10033,580
2019,7,10034,447
2019,7,10035,207
2019,7,10036,94
2019,7,10037,101
2019,7,10038,54
2019,7,10039,223
2019,7,10040,607
2019,7,10044,5
2019,7,10065,13
2019,7,10069,4
2019,7,10075,31
2019,7,10119,1
2019,7,10120,1
2019,7,10128,110
2019,7,10162,2
2019,7,10271,1
2019,7,10280,2
2019,7,10282,4
2019,7,10301,110
2019,7,10302,54
2019,7,10303,83
2019,7,10304,138
2019,7,10305,63
2019,7,10306,46
2019,7,10307,23
2019,7,10308,31
2019,7,10309,40
2019,7,10310,120
2019,7,10312,69
2019,7,10314,155
2019,7,10451,348
2019,7,10452,1143
2019,7,10453,1181
2019,7,10454,250
2019,7,10455,337
2019,7,10456,602
2019,7,10457,739
2019,7,10458,609
2019,7,10459,277
2019,7,10460,460
2019,7,10461,130
2019,7,10462,289
2019,7,10463,373
2019,7,10464,17
2019,7,10465,181
2019,7,10466,284
2019,7,10467,579
2019,7,10468,941
2019,7,10469,186
2019,7,10470,55
2019,7,10471,49
2019,7,10472,475
2019,7,10473,345
2019,7,10474,73
2019,7,10475,12
2019,7,11001,4
2019,7,11004,21
2019,7,11005,2
2019,7,11040,4
2019,7,11101,116
2019,7,11102,101
2019,7,11103,94
2019,7,11104,42
2019,7,11105,102
2019,7,11106,162
2019,7,11109,1
2019,7,11201,303
2019,7,11203,243
2019,7,11204,78
2019,7,11205,160
2019,7,11206,601
2019,7,11207,415
2019,7,11208,530
2019,7,11209,108
2019,7,11210,166
2019,7,11211,358
2019,7,11212,242
2019,7,11213,335
2019,7,11214,126
2019,7,11215,145
2019,7,11216,468
2019,7,11217,132
2019,7,11218,109
2019,7,11219,78
2019,7,11220,203
2019,7,11221,921
2019,7,11222,137
2019,7,11223,98
2019,7,11224,114
2019,7,11225,630
2019,7,11226,719
2019,7,11228,58
2019,7,11229,170
2019,7,11230,92
2019,7,11231,92
2019,7,11232,158
2019,7,11233,391
2019,7,11234,174
2019,7,11235,158
2019,7,11236,195
2019,7,11237,633
2019,7,11238,360
2019,7,11239,7
2019,7,11249,116
2019,7,11354,89
2019,7,11355,96
2019,7,11356,78
2019,7,11357,45
2019,7,11358,56
2019,7,11360,14
2019,7,11361,36
2019,7,11362,7
2019,7,11363,2
2019,7,11364,9
2019,7,11365,84
2019,7,11366,111
2019,7,11367,24
2019,7,11368,333
2019,7,11369,117
2019,7,11370,18
2019,7,11372,289
2019,7,11373,180
2019,7,11374,35
2019,7,11375,56
2019,7,11377,186
2019,7,11378,79
2019,7,11379,42
2019,7,11385,503
2019,7,11411,41
2019,7,11412,91
2019,7,11413,93
2019,7,11414,57
2019,7,11415,35
2019,7,11416,178
2019,7,11417,125
2019,7,11418,122
2019,7,11419,297
2019,7,11420,289
2019,7,11421,244
2019,7,11422,79
2019,7,11423,87
2019,7,11426,22
2019,7,11427,44
2019,7,11428,78
2019,7,11429,76
2019,7,11432,238
2019,7,11433,152
2019,7,11434,125
2019,7,11435,185
2019,7,11436,121
2019,7,11691,127
2019,7,11692,50
2019,7,11693,29
2019,7,11694,45
2019,7,11697,18
2019,8,10000,5
2019,8,10001,185
2019,8,10002,408
2019,8,10003,281
2019,8,10004,27
2019,8,10005,40
2019,8,10006,12
2019,8,10007,54
2019,8,10009,487
2019,8,10010,123
2019,8,10011,239
2019,8,10012,141
2019,8,10013,151
2019,8,10014,136
2019,8,10016,212
2019,8,10017,63
2019,8,10018,88
2019,8,10019,216
2019,8,10020,3
2019,8,10021,50
2019,8,10022,189
2019,8,10023,157
2019,8,10024,265
2019,8,10025,279
2019,8,10026,516
2019,8,10027,554
2019,8,10028,115
2019,8,10029,409
2019,8,10030,276
2019,8,10031,897
2019,8,10032,642
2019,8,10033,773
2019,8,10034,664
2019,8,10035,191
2019,8,10036,145
2019,8,10037,109
2019,8,10038,85
2019,8,10039,249
2019,8,10040,638
2019,8,10041,1
2019,8,10044,9
2019,8,10065,45
2019,8,10069,13
2019,8,10075,49
2019,8,10111,1
2019,8,10119,1
2019,8,10123,1
