lat,lon,neighs_5,neighs_10,neighs_30
40.5657899,-73.87732953,Noise - Commercial,Noise - Residential,Noise - Residential
40.87154988,-74.07512124,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.52860287,-73.85260557,Noise - Commercial,Noise - Commercial,Noise - Residential
40.55752612,-73.97622539,Noise - Street/Sidewalk,Noise - Street/Sidewalk,Noise - Residential
40.54513044,-74.0355629,Noise - Residential,Noise - Residential,Noise - Residential
40.57405368,-74.15918272,Noise - Commercial,Noise - Residential,Noise - Residential
40.84262664,-73.77843367,Noise - Commercial,Noise - Commercial,Noise - Residential
40.50794342,-74.01083894,Noise - Residential,Noise - Residential,Noise - Residential
40.89634123,-74.19379627,Noise - Helicopter,Noise - Helicopter,Noise - Commercial
40.59058125,-73.79821284,Noise - Residential,Noise - Residential,Noise - Residential
40.66082341,-74.22346503,Noise - Residential,Noise - Residential,Noise - Residential
40.59471314,-74.07512124,Noise - Commercial,Noise - Commercial,Noise - Residential
40.62363638,-74.19874107,Noise - Street/Sidewalk,Noise - Residential,Noise - Residential
40.70627421,-73.98611497,Noise - Commercial,Noise - Commercial,Noise - Street/Sidewalk
40.55752612,-74.05039728,Noise - Commercial,Noise - Vehicle,Noise - Residential
40.85502231,-73.79326805,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.64016395,-73.83777119,Noise - Vehicle,Noise - Vehicle,Noise - Residential
40.66908719,-73.96139101,Noise - Residential,Noise - Residential,Noise - Vehicle
40.70214232,-73.78337847,Noise - Residential,Noise - Residential,Noise - Residential
40.73106556,-73.90699829,Noise - Commercial,Noise - Residential,Noise - Commercial
40.70627421,-74.06028687,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.73519746,-74.18390669,Noise - Vehicle,Noise - Residential,Noise - Residential
40.52033909,-74.22840982,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.81783529,-73.97128059,Noise - Helicopter,Noise - Residential,Noise - Street/Sidewalk
40.66908719,-74.0355629,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.69801043,-74.15918272,Noise - Residential,Noise - Commercial,Noise - Residential
40.75172502,-73.82293681,Noise - Residential,Noise - Residential,Noise - Commercial
40.78064826,-73.94655663,Noise - Residential,Noise - Residential,Noise - Commercial
40.5657899,-73.99105977,Noise - Residential,Noise - Residential,Noise - Residential
40.8137034,-73.76854409,Noise - Residential,Noise - Residential,Noise - Residential
40.84262664,-73.89216391,Noise - Residential,Noise - Street/Sidewalk,Noise - Vehicle
40.63190016,-74.21357544,Noise - Street/Sidewalk,Noise - Residential,Noise - Residential
40.78064826,-74.02072852,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.5657899,-74.06523166,Noise - Commercial,Noise - Vehicle,Noise - Commercial
40.59471314,-74.18885148,Noise - Vehicle,Noise - Residential,Noise - Residential
40.8632861,-73.80810243,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.89220934,-73.93172225,Noise - Vehicle,Noise - Vehicle,Noise - Vehicle
40.67735097,-73.97622539,Noise - Street/Sidewalk,Noise - Street/Sidewalk,Noise - Commercial
40.52860287,-74.04050769,Noise - Residential,Noise - Residential,Noise - Residential
40.82609907,-73.78337847,Noise - Residential,Noise - Residential,Noise - Residential
40.85502231,-73.90699829,Noise - Vehicle,Noise - Street/Sidewalk,Noise - Vehicle
40.64016395,-73.95150142,Noise - Residential,Noise - Commercial,Noise - Vehicle
40.68148286,-74.25313379,Noise - Residential,Noise - Residential,Noise - Residential
40.74346124,-74.19874107,Noise - Vehicle,Noise - Residential,Noise - Residential
40.89220934,-74.00589414,Noise - Vehicle,Noise - Vehicle,Noise - Vehicle
40.67735097,-74.05039728,Noise - Commercial,Noise - Commercial,Noise - Street/Sidewalk
40.70627421,-74.1740171,Noise - Vehicle,Noise - Residential,Noise - Residential
40.78891205,-73.96139101,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.64016395,-74.02567332,Noise - Vehicle,Noise - Vehicle,Noise - Vehicle
40.75172502,-73.93666704,Noise - Residential,Noise - Residential,Noise - Commercial
40.8137034,-73.88227432,Noise - Vehicle,Noise - Street/Sidewalk,Noise - Street/Sidewalk
40.75585691,-74.21357544,Noise - Vehicle,Noise - Residential,Noise - Residential
40.78891205,-74.0355629,Noise - Commercial,Noise - Commercial,Noise - Commercial
40.81783529,-74.15918272,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.60297692,-74.20368586,Noise - Residential,Noise - Residential,Noise - Residential
40.90047312,-73.94655663,Noise - Vehicle,Noise - Vehicle,Noise - Vehicle
40.75172502,-74.01083894,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.78064826,-74.13445876,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.5657899,-74.17896189,Noise - Residential,Noise - Residential,Noise - Residential
40.83436285,-73.79821284,Noise - Residential,Noise - Commercial,Noise - Residential
40.8632861,-73.92183267,Noise - Vehicle,Noise - Residential,Noise - Street/Sidewalk
40.79717583,-73.77348888,Noise - Residential,Noise - Residential,Noise - Residential
40.53686666,-73.88227432,Noise - Commercial,Noise - Commercial,Noise - Residential
40.49967963,-73.85755036,Noise - Commercial,Noise - Commercial,Noise - Residential
40.86741799,-74.19874107,Noise - Helicopter,Noise - Helicopter,Noise - Helicopter
40.56165801,-73.80315764,Noise - Residential,Noise - Residential,Noise - Residential
40.65255962,-74.2432442,Noise - Street/Sidewalk,Noise - Residential,Noise - Residential
40.714538,-74.18885148,Noise - Vehicle,Noise - Residential,Noise - Residential
